Frame,UTC_time,x1,y1,x2,y2,CLASS,predicted_depth,actual_depth
4210,2025-06-08 08:30:28.806977+00:00,609,224,715,304,car,7.721879547717524,9.016139
4210,2025-06-08 08:30:28.806977+00:00,0,195,52,406,person,5.151900945925245,4.2064962
4210,2025-06-08 08:30:28.806977+00:00,443,178,533,285,bus,11.374880323223039,11.480333
4210,2025-06-08 08:30:28.806977+00:00,120,211,260,329,truck,9.504704494102329,9.092129
4210,2025-06-08 08:30:28.806977+00:00,559,207,616,268,car,12.745743097043505,21.485214
4210,2025-06-08 08:30:28.806977+00:00,350,208,466,310,truck,10.786580403645834,11.480333
4210,2025-06-08 08:30:28.806977+00:00,350,209,465,308,bus,10.786580403645834,11.480333
4210,2025-06-08 08:30:28.806977+00:00,1133,230,1162,288,person,16.925757314644606,17.055939
4211,2025-06-08 08:30:29.023350+00:00,693,205,982,367,car,5.588667327282476,3.6657376
4211,2025-06-08 08:30:29.023350+00:00,604,225,710,305,car,7.6857036515778185,9.440437
4211,2025-06-08 08:30:29.023350+00:00,1000,256,1084,326,motorcycle,9.493061140471815,6.0551796
4211,2025-06-08 08:30:29.023350+00:00,47,207,218,338,truck,8.195444144454656,6.335615
4211,2025-06-08 08:30:29.023350+00:00,320,202,452,318,bus,9.745391845703125,6.4228573
4211,2025-06-08 08:30:29.023350+00:00,432,175,529,287,bus,10.61468386182598,11.667696
4211,2025-06-08 08:30:29.023350+00:00,550,207,615,268,car,11.365727443321079,15.958769
4211,2025-06-08 08:30:29.023350+00:00,1166,230,1193,293,person,16.929978314568014,15.176577
4211,2025-06-08 08:30:29.023350+00:00,1006,228,1050,297,person,10.384821873085171,8.51308
4212,2025-06-08 08:30:29.240081+00:00,687,204,971,366,car,5.537943522135417,3.6583917
4212,2025-06-08 08:30:29.240081+00:00,600,223,704,304,car,7.302156336167279,9.157267
4212,2025-06-08 08:30:29.240081+00:00,0,198,165,349,truck,6.920442468979779,6.441956
4212,2025-06-08 08:30:29.240081+00:00,1204,227,1279,344,person,7.172025792738971,4.8032146
4212,2025-06-08 08:30:29.240081+00:00,1179,275,1279,354,motorcycle,7.172025792738971,2.9745445
4212,2025-06-08 08:30:29.240081+00:00,279,196,435,323,truck,8.731900682636336,8.307977
4212,2025-06-08 08:30:29.240081+00:00,419,169,523,289,truck,9.888129140816483,11.665808
4212,2025-06-08 08:30:29.240081+00:00,548,205,612,264,car,11.034474092371324,17.22055
4212,2025-06-08 08:30:29.240081+00:00,418,169,523,289,bus,9.843235988242954,11.665808
4212,2025-06-08 08:30:29.240081+00:00,542,204,613,263,truck,10.977288938036152,17.024605
4213,2025-06-08 08:30:29.456898+00:00,682,203,970,369,car,5.480996524586397,3.691499
4213,2025-06-08 08:30:29.456898+00:00,594,223,695,304,car,7.533864937576593,9.328829
4213,2025-06-08 08:30:29.456898+00:00,236,189,417,336,truck,7.727789785347733,4.4011045
